#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF104F
#Date Time: 2020-09-14 13:32:03.453
#Sample rate: 1654.94Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: -1.5 V Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 2 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-2.267146,1.997598574670392,0.002595949702807188
-2.26654175,1.997598574670392,0.001240929637816635
-2.2659375,1.997931015301136,0.002257194686559032
-2.26533325,1.997931015301136,0.0002246645890730911
-2.264729,1.997931015301136,-0.000791600459669306
-2.26412475,1.997931015301136,-0.001130355475917
-2.2635205,1.997931015301136,-0.003840395605898944
-2.26291625,1.997931015301136,-0.005195415670888881
-2.262312,1.997931015301136,-0.00621168071963174
-2.26170775,1.997931015301136,-0.0075667007846219
-2.2611035,1.997931015301136,-0.007566700784622515
-2.26049925,1.997931015301136,-0.008244210817117681
-2.259895,1.997931015301136,-0.007905455800870364
-2.25929075,1.997931015301136,-0.009937985898355928
-2.2586865,1.997931015301136,-0.008582965833365375
-2.25808225,1.997931015301136,-0.008244210817117835
-2.257478,2.000590540347086,-0.006550435735878664
-2.25687375,1.99826345593188,-0.004856660654641187
-2.2562695,1.997931015301136,-0.0041791506221458
-2.25566525,1.997931015301136,-0.003501640589649402
-2.255061,1.99826345593188,-0.000791600459669306
-2.25445675,1.997931015301136,0.000563419605321247
-2.2538525,1.997931015301136,0.002257194686559494
-2.25324825,1.997931015301136,0.002257194686559494
-2.252644,1.997931015301136,0.002934704719054881
-2.25203975,1.997931015301136,0.003950969767797278
-2.2514355,1.997931015301136,0.002934704719054881
-2.25083125,1.99826345593188,0.004967234816540822
-2.250227,1.997931015301136,0.003950969767798203
-2.24962275,1.997931015301136,0.003273459735302575
-2.2490185,1.997931015301136,0.000563419605321247
-2.24841425,1.997931015301136,0.0002246645890737073
-2.24781,1.997931015301136,-0.001130355475917308
-2.24720575,1.997931015301136,-0.001807865508412387
-2.2466015,1.997931015301136,-0.004856660654641187
-2.24599725,1.997931015301136,-0.005534170687137499
-2.245393,1.997931015301136,-0.007566700784622515
-2.24478875,1.997931015301136,-0.006550435735879434
-2.2441845,1.997931015301137,-0.00824421081711799
-2.24358025,1.999593218454855,-0.008921720849613068
-2.242976,1.998928337193367,-0.008244210817117681
-2.24237175,1.997931015301136,-0.009937985898355157
-2.2417675,1.997931015301136,-0.008582965833365375
-2.24116325,1.997931015301136,-0.007905455800870209
-2.240559,1.997931015301136,-0.005534170687137653
-2.23995475,1.997931015301136,-0.004517905638393493
-2.2393505,1.997598574670392,-0.003840395605898328
-2.23874625,1.997931015301136,-0.002824130557155709
-2.238142,1.997931015301136,0.000563419605321247
-2.23753775,1.997931015301136,0.000563419605321247
-2.2369335,1.997931015301136,0.002595949702807188
-2.23632925,1.997931015301136,0.002257194686560264
-2.235725,1.997931015301136,0.003950969767797741
-2.23512075,1.997931015301136,0.003273459735302575
-2.2345165,1.997931015301136,0.004289724784044972
-2.23391225,1.997931015301136,0.004967234816540822
-2.233308,1.997931015301136,0.003273459735302575
-2.23270375,1.997931015301136,0.002257194686559956
-2.2320995,1.997931015301136,0.000563419605321247
-2.23149525,1.997931015301136,-0.000791600459669306
-2.230891,1.997931015301136,-0.001469110492164385
-2.23028675,1.997598574670392,-0.002824130557156479
-2.2296825,1.997931015301136,-0.005534170687136575
-2.22907825,1.997931015301136,-0.005872925703384269
-2.228474,1.997598574670392,-0.007566700784622361
-2.22786975,1.997931015301136,-0.007227945768374822
-2.2272655,1.997931015301136,-0.008582965833365375
-2.22666125,1.997931015301136,-0.007905455800870979
-2.226057,1.997931015301136,-0.009599230882108456
-2.22545275,1.997931015301136,-0.009599230882108456
-2.2248485,1.99826345593188,-0.00756670078462344
-2.22424425,1.997931015301136,-0.006889190752127128
-2.22364,1.997931015301136,-0.005534170687136575
-2.22303575,1.997931015301136,-0.004179150622146416
-2.2224315,1.997931015301136,-0.003501640589650634
-2.22182725,1.997931015301136,-0.001130355475917
-2.221223,1.997931015301136,-0.0001140904271746026
-2.22061875,1.997931015301136,0.00157968465406479
-2.2200145,1.997931015301136,0.002595949702807188
-2.21941025,1.997931015301136,0.002257194686559494
-2.218806,1.997598574670392,0.003950969767797433
-2.21820175,1.997931015301136,0.003273459735302575
-2.2175975,1.997931015301136,0.004967234816540822
-2.21699325,1.997931015301136,0.003612214751550269
-2.216389,1.997931015301136,0.003612214751550269
-2.21578475,1.997931015301136,0.001579684654064328
-2.2151805,1.997931015301136,-0.0001140904271733703
-2.21457625,1.997931015301136,-0.000791600459669306
-2.213972,1.997931015301136,-0.001469110492164694
-2.21336775,1.997931015301136,-0.004517905638392107
-2.2127635,1.997931015301136,-0.005195415670888881
-2.21215925,1.997931015301136,-0.006889190752127128
-2.211555,1.997931015301136,-0.007227945768374667
-2.21095075,1.997931015301136,-0.007227945768375284
-2.2103465,1.997931015301136,-0.008244210817117681
-2.20974225,1.997931015301136,-0.007905455800870209
-2.209138,1.997931015301136,-0.009599230882107531
